bedrooms,bathrooms,m2_living,floors,m2_above,m2_basement,m2_lot,view,quality,yr_built,renovated_last_5,city,statezip,price
3,2.5,301.0,2.0,301.0,0.0,3080.0,2,3,2001,1,15,14,604000.0
2,1.0,74.0,1.0,74.0,0.0,451.0,0,4,1950,1,36,51,440000.0
3,3.0,172.0,1.0,101.0,71.0,1855.0,0,4,1998,1,22,24,287200.0
3,2.0,182.0,1.0,153.0,29.0,1217.0,2,5,1963,1,27,69,403000.0
3,2.5,222.0,1.0,134.0,88.0,609.0,2,4,1961,0,36,56,750000.0
3,2.25,147.0,1.0,147.0,0.0,1506.0,0,4,1984,0,14,15,335000.0
4,2.0,137.0,1.0,137.0,0.0,801.0,0,4,1980,1,33,34,260000.0
2,1.0,79.0,1.0,79.0,0.0,574.0,0,4,1956,0,37,68,308500.0
3,2.5,164.0,2.0,164.0,0.0,267.0,0,3,1996,0,36,56,439950.0
2,1.0,112.0,1.0,112.0,0.0,873.0,0,2,1955,1,36,50,235000.0
3,1.0,108.0,1.0,108.0,0.0,853.0,0,3,1974,0,43,45,315000.0
3,2.25,183.0,2.0,183.0,0.0,3261.0,0,4,1983,1,17,16,437500.0
3,2.5,179.0,2.0,179.0,0.0,972.0,0,3,2002,1,33,38,407500.0
3,2.5,118.0,3.0,118.0,0.0,110.0,0,3,2007,1,36,51,445700.0
4,2.5,308.0,2.0,308.0,0.0,3995.0,0,3,2007,1,32,32,838000.0
4,2.75,252.0,2.0,252.0,0.0,3463.0,0,3,2006,1,17,16,630000.0
3,1.75,270.0,1.5,270.0,0.0,3270.0,0,3,1985,0,34,44,550000.0
3,2.0,252.0,1.5,175.0,77.0,418.0,0,4,1935,1,36,55,805000.0
3,1.75,167.0,1.0,167.0,0.0,2146.0,0,3,1974,0,8,11,284000.0
5,2.5,205.0,1.0,136.0,70.0,897.0,0,3,1982,1,6,10,470000.0
4,1.5,178.0,1.0,99.0,79.0,929.0,0,4,1960,0,4,6,430000.0
4,1.75,203.0,1.0,203.0,0.0,11655.0,2,3,1974,0,2,46,491500.0
5,3.25,340.0,2.0,340.0,0.0,1114.0,2,3,2012,1,39,39,785000.0
3,3.25,123.0,2.0,97.0,26.0,123.0,0,3,2014,1,36,75,385000.0
2,2.5,151.0,2.0,119.0,33.0,127.0,0,3,2015,1,36,50,295000.0
4,2.5,308.0,2.0,308.0,0.0,604.0,0,3,2018,1,39,39,555000.0
3,2.5,249.0,2.0,249.0,0.0,515.0,0,3,2019,1,28,28,459990.0
4,3.25,254.0,1.0,145.0,109.0,5018.0,0,3,2013,1,33,38,625000.0
3,2.5,236.0,2.0,236.0,0.0,469.0,0,3,2012,1,19,27,300000.0
4,2.75,271.0,2.0,271.0,0.0,614.0,0,3,2018,1,33,38,625000.0
2,1.0,84.0,1.0,84.0,0.0,465.0,0,3,1950,1,36,57,553000.0
3,2.5,153.0,1.0,105.0,48.0,1306.0,0,4,1992,1,17,16,379880.0
3,1.0,94.0,1.0,94.0,0.0,924.0,0,4,1979,1,39,39,310000.0
2,2.5,249.0,1.0,249.0,0.0,687.0,0,3,2010,1,32,33,775000.0
3,2.5,204.0,1.0,146.0,59.0,683.0,0,5,1994,1,33,37,365000.0
4,2.5,235.0,2.0,187.0,48.0,923.0,2,3,1996,0,2,46,331950.0
3,2.5,265.0,2.0,185.0,80.0,662.0,0,3,1986,1,36,60,783500.0
4,2.0,212.0,1.0,106.0,106.0,558.0,0,3,1906,0,36,60,628000.0
3,2.5,177.0,2.0,177.0,0.0,812.0,0,3,1993,0,34,43,560000.0
3,1.0,124.0,1.0,124.0,0.0,7244.0,0,3,1934,0,20,22,900000.0
2,3.0,118.0,2.0,103.0,15.0,109.0,0,3,2006,1,36,48,531000.0
4,3.0,202.0,2.0,150.0,52.0,372.0,0,4,1988,0,36,54,831000.0
4,2.5,254.0,2.0,254.0,0.0,955.0,2,3,2002,1,34,43,780000.0
4,2.5,197.0,1.0,151.0,46.0,948.0,0,4,1966,0,4,5,755000.0
3,2.5,231.0,2.0,231.0,0.0,403.0,0,3,2009,1,17,18,705380.0
4,2.25,185.0,1.0,112.0,72.0,716.0,0,3,1979,0,17,16,627000.0
4,3.0,343.0,2.0,343.0,0.0,919.0,0,3,2004,0,34,44,865000.0
2,1.0,236.0,1.0,123.0,113.0,650.0,0,5,1948,1,36,58,580000.0
3,2.25,167.0,1.0,126.0,41.0,3410.0,0,4,1984,0,17,16,410000.0
4,3.0,217.0,1.0,124.0,93.0,655.0,0,4,1985,1,20,23,485000.0
2,1.75,196.0,1.0,196.0,0.0,884.0,0,2,1954,1,37,68,400000.0
2,1.0,106.0,1.0,106.0,0.0,502.0,0,5,1914,1,36,54,549000.0
3,1.75,137.0,2.5,137.0,0.0,203.0,0,3,2011,1,20,22,620000.0
2,3.0,131.0,2.0,106.0,25.0,115.0,0,3,2012,1,36,64,405000.0
2,1.0,111.0,1.0,111.0,0.0,749.0,0,4,1964,0,11,74,232000.0
5,2.5,295.0,2.0,295.0,0.0,1283.0,0,4,1996,1,20,22,800866.0
3,1.5,201.0,1.0,130.0,71.0,836.0,2,4,1955,0,36,71,650000.0
6,1.75,271.0,2.5,258.0,13.0,465.0,0,4,1914,1,36,60,823000.0
3,2.0,218.0,1.5,168.0,50.0,530.0,0,4,1945,0,36,54,770000.0
3,1.75,145.0,1.0,72.0,72.0,513.0,0,4,1950,1,36,75,524000.0
5,2.75,255.0,1.0,127.0,127.0,783.0,0,4,1966,0,4,6,541125.0
3,2.5,156.0,3.0,156.0,0.0,186.0,0,3,1915,0,36,49,670000.0
5,2.5,287.0,1.0,163.0,124.0,1185.0,0,3,1974,0,15,14,384900.0
3,2.25,131.0,3.0,131.0,0.0,124.0,0,3,2011,1,36,48,406100.0
5,3.5,373.0,2.0,265.0,108.0,791.0,1,5,1977,1,36,49,1395000.0
4,2.5,295.0,2.0,295.0,0.0,2035.0,3,3,2006,1,33,38,736500.0
3,2.25,187.0,1.0,124.0,63.0,557.0,0,3,1981,1,32,32,570000.0
3,1.75,124.0,1.0,124.0,0.0,697.0,0,3,1967,0,4,4,787000.0
4,2.5,220.0,2.0,220.0,0.0,604.0,0,3,2004,0,2,46,328000.0
5,2.0,171.0,1.0,143.0,28.0,858.0,0,4,1948,0,36,63,435000.0
4,2.5,270.0,2.0,270.0,0.0,602.0,0,3,2012,1,39,39,499000.0
4,1.0,192.0,1.0,108.0,85.0,699.0,0,3,1969,0,4,8,501000.0
4,2.5,403.0,2.5,403.0,0.0,13152.0,0,3,1998,1,32,33,1090000.0
2,1.0,78.0,1.0,78.0,0.0,512.0,0,3,1961,0,36,64,400000.0
4,1.5,115.0,1.0,115.0,0.0,892.0,0,3,1977,1,15,14,220000.0
4,1.0,129.0,1.0,98.0,32.0,394.0,0,3,1930,0,36,48,657100.0
4,2.75,215.0,2.0,215.0,0.0,465.0,0,3,2012,1,22,24,309950.0
3,2.0,98.0,1.0,98.0,0.0,936.0,0,3,1992,1,12,12,300000.0
5,1.75,237.0,1.0,168.0,69.0,6677.0,0,5,1966,1,17,16,525888.0
4,1.75,187.0,1.5,187.0,0.0,334.0,0,3,1908,1,36,59,740000.0
5,1.0,104.0,1.5,104.0,0.0,838.0,0,4,1968,1,20,23,340000.0
3,2.5,207.0,2.0,207.0,0.0,372.0,0,3,1960,0,36,65,398750.0
2,1.0,75.0,1.0,75.0,0.0,665.0,0,5,1950,1,7,70,206000.0
5,2.75,296.0,1.0,157.0,139.0,1572.0,3,3,1982,1,4,6,1030000.0
3,1.75,155.0,1.0,155.0,0.0,3683.0,0,4,1982,0,34,44,600000.0
4,1.75,183.0,1.0,106.0,77.0,872.0,0,5,1966,1,37,63,379950.0
3,1.0,135.0,1.0,135.0,0.0,557.0,0,4,1959,0,36,58,287000.0
7,8.0,1258.0,3.0,874.0,384.0,28591.0,4,3,2005,1,32,33,2280000.0
3,2.5,175.0,2.0,175.0,0.0,728.0,0,3,2000,1,33,34,309950.0
3,1.75,175.0,1.0,97.0,78.0,591.0,0,4,1951,1,36,55,600000.0
3,2.0,131.0,1.5,131.0,0.0,560.0,0,4,1936,1,36,48,418000.0
4,2.0,137.0,1.5,137.0,0.0,357.0,0,5,1934,0,36,63,449250.0
2,1.0,106.0,1.5,106.0,0.0,488.0,0,4,1955,0,36,63,329950.0
3,1.75,178.0,1.0,93.0,85.0,865.0,0,3,1990,1,2,1,245000.0
4,2.5,270.0,2.0,270.0,0.0,589.0,0,3,2014,1,33,38,549000.0
3,2.5,301.0,2.0,301.0,0.0,730.0,0,3,2000,1,34,44,800000.0
3,2.0,144.0,1.0,144.0,0.0,1397.0,0,4,1964,0,33,38,249950.0
5,2.0,190.0,1.0,133.0,58.0,948.0,0,3,1962,0,11,74,210000.0
2,2.5,206.0,2.0,206.0,0.0,372.0,0,3,2006,1,36,54,1425000.0
2,1.0,164.0,1.5,141.0,23.0,803.0,0,3,1955,0,36,57,585000.0
4,1.75,214.0,1.0,182.0,32.0,1087.0,0,4,1983,1,32,32,615000.0
3,2.0,167.0,1.0,100.0,67.0,465.0,0,4,1948,0,36,55,618500.0
4,1.75,187.0,1.0,137.0,50.0,856.0,0,3,1983,0,20,23,487585.0
3,2.5,166.0,2.0,166.0,0.0,251.0,0,3,2016,1,17,16,509900.0
4,2.5,227.0,2.0,227.0,0.0,618.0,0,3,2020,1,36,57,631625.0
3,2.5,180.0,2.0,180.0,0.0,298.0,0,3,2015,1,17,16,555000.0
2,1.5,108.0,2.0,108.0,0.0,134.0,0,3,2007,1,36,65,340000.0
4,2.5,316.0,2.0,316.0,0.0,900.0,0,3,2013,1,32,32,830000.0
4,4.25,411.0,2.0,317.0,94.0,534.0,0,3,2012,1,17,16,890000.0
3,3.0,146.0,3.0,146.0,0.0,187.0,0,3,2014,1,36,61,366750.0
3,2.25,151.0,2.5,143.0,7.0,93.0,0,3,2016,1,17,18,415000.0
3,2.5,131.0,3.0,131.0,0.0,92.0,0,3,2011,1,36,55,416286.0
3,2.5,282.0,2.0,282.0,0.0,421.0,0,3,2013,1,33,35,478000.0
5,3.5,417.0,2.0,297.0,120.0,557.0,0,3,2012,1,17,16,890000.0
2,2.5,148.0,2.0,148.0,0.0,132.0,0,3,2020,1,17,18,419190.0
4,2.5,228.0,2.0,228.0,0.0,395.0,0,3,2019,1,32,32,712198.0
4,2.0,134.0,1.0,111.0,22.0,713.0,0,3,1977,1,20,23,397000.0
2,2.0,102.0,1.5,102.0,0.0,279.0,0,3,1918,0,36,57,450000.0
3,1.0,125.0,1.0,80.0,46.0,719.0,0,4,1953,0,36,61,353000.0
4,2.5,200.0,2.0,200.0,0.0,3529.0,0,3,1991,1,32,32,609000.0
3,1.75,138.0,1.0,94.0,45.0,777.0,0,4,1981,1,10,27,234000.0
3,2.0,186.0,2.0,186.0,0.0,650.0,0,3,1922,0,36,64,561000.0
2,1.0,96.0,1.0,96.0,0.0,409.0,0,3,1930,0,36,57,469000.0
2,1.0,67.0,1.0,67.0,0.0,621.0,0,3,1948,0,36,57,329350.0
5,2.0,188.0,1.5,188.0,0.0,465.0,0,4,1944,1,36,57,488000.0
3,1.75,147.0,1.0,102.0,45.0,757.0,1,4,1968,1,11,74,279900.0
4,2.5,196.0,2.0,196.0,0.0,1287.0,0,3,1993,0,17,16,606000.0
4,2.0,121.0,1.0,121.0,0.0,655.0,0,3,1956,0,36,66,312000.0
3,1.5,151.0,1.0,108.0,44.0,694.0,1,3,1946,0,36,55,650000.0
4,2.75,313.0,1.0,183.0,130.0,753.0,3,3,1976,0,36,64,1135000.0
4,2.5,176.0,1.0,91.0,85.0,572.0,0,3,1986,1,36,50,325000.0
4,2.0,141.0,1.0,141.0,0.0,742.0,0,5,1973,1,16,23,425000.0
2,1.0,84.0,1.0,84.0,0.0,479.0,0,3,1958,0,36,50,219000.0
3,1.0,98.0,1.0,98.0,0.0,639.0,0,3,1960,0,37,63,250000.0
3,1.75,117.0,1.0,117.0,0.0,604.0,0,4,1972,1,4,8,390000.0
6,3.0,322.0,1.5,322.0,0.0,10927.0,0,3,1930,0,18,17,475000.0
4,2.5,213.0,2.0,213.0,0.0,1119.0,0,4,1994,1,4,6,736000.0
4,2.25,261.0,1.0,159.0,102.0,2174.0,1,3,1964,0,11,74,407000.0
3,2.5,153.0,2.0,153.0,0.0,1284.0,0,3,2004,0,8,11,272000.0
3,2.25,152.0,1.0,106.0,46.0,1335.0,0,4,1969,1,7,67,362000.0
3,2.5,172.0,2.0,172.0,0.0,939.0,0,3,1997,1,20,23,535000.0
4,2.5,186.0,2.0,186.0,0.0,501.0,0,3,2009,1,19,27,284000.0
3,1.5,131.0,1.0,131.0,0.0,896.0,0,3,1967,0,37,71,367500.0
4,1.75,139.0,1.0,93.0,46.0,1078.0,0,4,1961,0,18,17,379900.0
3,2.5,229.0,2.0,229.0,0.0,5099.0,0,4,1986,1,33,38,520000.0
3,1.0,94.0,1.0,94.0,0.0,653.0,0,3,1960,0,33,36,175000.0
2,2.25,114.0,2.0,95.0,20.0,86.0,0,3,2010,1,36,54,460000.0
4,2.5,217.0,2.0,217.0,0.0,355.0,0,3,2013,1,33,37,345000.0
5,2.5,208.0,1.0,124.0,84.0,722.0,0,3,1984,1,20,23,455000.0
4,3.0,228.0,1.0,147.0,81.0,940.0,0,5,1973,1,4,6,610000.0
4,3.0,288.0,2.0,223.0,65.0,1438.0,0,3,2002,1,18,17,563000.0
4,2.0,191.0,1.0,96.0,96.0,465.0,0,3,1955,0,36,57,612500.0
3,1.75,172.0,1.0,123.0,49.0,714.0,0,3,1985,0,15,14,218000.0
4,1.75,171.0,1.0,89.0,82.0,996.0,0,3,1964,0,4,8,404000.0
4,2.0,347.0,2.0,347.0,0.0,3012.0,0,3,2006,1,32,33,860000.0
3,1.5,132.0,1.0,132.0,0.0,797.0,0,3,1968,0,15,14,136500.0
3,1.0,140.0,1.0,80.0,60.0,565.0,0,4,1946,0,36,55,313950.0
3,1.75,198.0,1.0,109.0,89.0,604.0,2,3,1960,0,36,75,575000.0
4,2.25,324.0,2.0,212.0,112.0,642.0,0,4,1934,1,36,75,1225000.0
3,1.75,151.0,1.0,151.0,0.0,1096.0,0,4,1977,1,28,28,280000.0
3,2.5,166.0,2.0,166.0,0.0,666.0,0,3,1995,1,34,43,515000.0
4,2.5,186.0,2.0,186.0,0.0,528.0,0,3,2002,1,18,17,513000.0
4,2.25,210.0,2.0,130.0,80.0,2781.0,0,4,1983,1,4,6,599000.0
4,2.5,281.0,2.0,281.0,0.0,731.0,0,3,2005,1,34,43,685000.0
3,1.5,122.0,1.0,122.0,0.0,758.0,0,3,1956,0,36,63,365000.0
4,2.5,360.0,2.0,360.0,0.0,1352.0,0,3,1993,0,34,43,762300.0
4,3.25,349.0,1.5,223.0,126.0,1015.0,0,5,1956,1,36,49,1580000.0
5,2.25,282.0,2.0,282.0,0.0,754.0,0,3,1990,1,32,32,562000.0
5,2.5,270.0,1.0,157.0,113.0,895.0,0,4,1970,1,4,8,530000.0
3,2.5,276.0,1.0,164.0,111.0,1113.0,0,3,2001,1,34,43,525000.0
2,1.75,154.0,1.0,108.0,46.0,557.0,0,3,1948,0,36,49,484000.0
4,2.5,297.0,2.0,297.0,0.0,1149.0,0,3,2004,0,26,38,725126.0
4,2.0,249.0,1.0,249.0,0.0,1744.0,0,5,1971,1,2,1,360000.0
3,1.0,114.0,1.0,114.0,0.0,889.0,0,5,1968,1,26,35,387000.0
4,2.5,255.0,2.0,255.0,0.0,4249.0,0,3,2001,1,43,45,483500.0
4,3.5,314.0,2.0,314.0,0.0,774.0,0,3,2006,1,37,71,655500.0
3,1.0,103.0,1.0,103.0,0.0,581.0,0,3,1962,0,36,55,345000.0
5,2.75,167.0,1.5,130.0,37.0,351.0,0,3,1932,0,36,48,533000.0
3,1.75,177.0,1.0,119.0,58.0,513.0,0,3,1988,1,36,58,385000.0
2,1.0,86.0,1.0,86.0,0.0,3389.0,2,3,1957,0,4,6,675000.0
3,1.75,157.0,1.0,98.0,59.0,719.0,0,4,1982,0,2,1,197000.0
3,2.0,132.0,1.5,132.0,0.0,379.0,0,3,1911,0,36,48,485000.0
5,4.0,419.0,2.0,419.0,0.0,1410.0,0,3,1975,0,24,26,1870000.0
3,2.25,184.0,1.0,145.0,39.0,743.0,0,4,1980,1,15,14,295000.0
2,1.75,109.0,1.0,69.0,40.0,223.0,0,4,1909,1,36,48,499000.0
3,2.5,204.0,2.0,150.0,55.0,183.0,0,3,2014,1,36,47,1050000.0
3,1.5,74.0,1.0,74.0,0.0,822.0,0,4,1965,1,15,14,191000.0
3,2.5,137.0,3.0,137.0,0.0,109.0,0,3,2012,1,36,54,500000.0
5,3.75,268.0,1.0,122.0,147.0,465.0,0,3,2012,1,36,65,390000.0
3,2.5,250.0,3.0,250.0,0.0,376.0,0,3,2020,1,36,57,979000.0
4,3.25,332.0,2.0,332.0,0.0,774.0,0,3,2019,1,33,34,580000.0
3,2.0,118.0,3.0,118.0,0.0,123.0,0,3,2012,1,36,48,369950.0
5,5.0,417.0,2.0,365.0,52.0,955.0,0,3,2019,1,4,4,1800000.0
4,2.5,282.0,2.0,282.0,0.0,597.0,0,3,2014,1,32,32,776000.0
3,2.25,109.0,3.0,109.0,0.0,116.0,0,3,2020,1,36,51,519950.0
5,2.25,191.0,1.0,96.0,96.0,802.0,0,3,1968,0,7,66,255000.0
3,1.0,92.0,1.0,92.0,0.0,557.0,0,3,1949,0,36,49,495000.0
4,2.5,226.0,2.0,226.0,0.0,483.0,0,3,2009,1,37,68,510000.0
4,4.0,414.0,2.0,414.0,0.0,9605.0,0,3,2007,1,32,33,1150000.0
3,1.75,116.0,1.0,116.0,0.0,940.0,0,3,2000,1,5,9,253000.0
3,2.75,143.0,1.0,112.0,31.0,628.0,0,5,1986,1,20,23,503000.0
3,2.5,149.0,2.0,149.0,0.0,650.0,0,4,1999,1,22,24,275000.0
3,1.0,103.0,1.0,103.0,0.0,783.0,0,3,1958,0,7,69,249000.0
3,1.75,171.0,1.0,113.0,58.0,996.0,0,4,1980,1,33,37,310000.0
3,2.75,234.0,1.0,126.0,108.0,502.0,0,4,1952,0,36,59,750000.0
3,2.5,249.0,2.0,249.0,0.0,30392.0,0,3,2001,1,31,31,630000.0
9,4.5,356.0,2.5,228.0,128.0,649.0,0,3,1944,0,36,48,599999.0
4,2.75,224.0,1.0,165.0,59.0,887.0,0,4,1962,1,20,22,758000.0
4,1.75,160.0,1.0,160.0,0.0,931.0,0,5,1966,1,10,27,248500.0
3,1.75,192.0,1.0,132.0,60.0,3521.0,0,4,1979,1,19,20,310000.0
3,2.0,164.0,2.0,164.0,0.0,841.0,0,4,1991,1,32,32,460000.0
3,1.75,156.0,1.0,156.0,0.0,975.0,0,4,1965,1,4,5,675000.0
2,2.0,144.0,1.5,144.0,0.0,223.0,0,4,1906,0,36,48,526000.0
3,3.0,383.0,2.0,295.0,87.0,5611.0,2,3,2000,1,8,11,560000.0
4,3.0,170.0,2.0,170.0,0.0,887.0,0,3,1997,1,6,17,415000.0
3,1.0,130.0,1.0,130.0,0.0,688.0,0,3,1950,1,7,69,246000.0
3,1.75,174.0,1.0,174.0,0.0,1150.0,0,4,1963,0,15,3,314500.0
7,4.5,577.0,2.5,442.0,135.0,823.0,2,5,1916,1,36,53,3200000.0
2,1.5,97.0,1.5,97.0,0.0,325.0,0,4,1910,1,36,65,420000.0
3,1.75,253.0,1.5,253.0,0.0,13881.0,0,3,1994,0,8,11,535000.0
3,1.0,94.0,1.0,94.0,0.0,870.0,0,3,1987,0,20,22,350000.0
3,1.75,147.0,1.0,112.0,34.0,850.0,1,4,1973,1,4,8,515000.0
4,2.75,242.0,2.0,182.0,59.0,562.0,0,5,1955,1,36,56,749950.0
3,2.5,178.0,2.0,178.0,0.0,853.0,0,3,1994,0,33,36,230000.0
3,2.0,218.0,1.5,165.0,53.0,472.0,0,3,1935,1,36,58,568000.0
1,1.0,102.0,1.0,76.0,26.0,406.0,0,2,1953,1,7,69,250000.0
4,2.0,233.0,1.0,119.0,114.0,1272.0,0,4,1967,0,20,22,581000.0
3,2.5,301.0,2.0,301.0,0.0,10068.0,0,4,1997,1,19,27,651000.0
3,2.5,229.0,1.0,173.0,56.0,10117.0,0,4,1983,1,17,16,600000.0
2,1.0,94.0,1.5,94.0,0.0,361.0,0,4,1912,0,36,54,500000.0
2,1.0,76.0,1.0,76.0,0.0,253.0,0,3,1927,0,36,48,475000.0
5,2.5,225.0,1.0,151.0,74.0,795.0,2,3,1984,1,36,58,352000.0
3,2.25,164.0,2.0,164.0,0.0,759.0,0,3,1983,0,20,23,420000.0
2,2.0,125.0,1.0,125.0,0.0,362.0,0,3,2009,1,32,33,428000.0
3,1.75,182.0,1.0,101.0,81.0,445.0,0,4,1926,1,36,55,599000.0
4,2.5,307.0,1.5,209.0,98.0,1502.0,0,5,1928,0,37,63,492000.0
2,2.25,237.0,1.0,160.0,77.0,526.0,0,3,2017,1,33,35,630000.0
5,3.75,384.0,2.0,295.0,89.0,21003.0,0,3,1991,1,43,45,900000.0
4,1.5,215.0,1.0,176.0,39.0,1236.0,0,3,1956,0,9,4,1110000.0
4,2.0,153.0,1.0,153.0,0.0,465.0,0,3,1961,0,36,57,575000.0
4,2.5,246.0,1.5,141.0,105.0,401.0,0,3,1911,0,36,56,705000.0
4,2.25,176.0,1.0,137.0,39.0,552.0,1,3,1969,0,36,54,940000.0
3,1.75,203.0,1.0,203.0,0.0,743.0,0,4,1973,1,15,14,313000.0
3,2.5,189.0,2.0,189.0,0.0,604.0,0,3,1994,0,17,16,618080.0
3,3.0,211.0,2.0,198.0,13.0,481.0,0,3,2008,1,33,35,640000.0
3,2.0,150.0,1.0,94.0,56.0,386.0,0,4,1923,1,36,64,485000.0
2,1.0,71.0,1.0,71.0,0.0,279.0,0,3,1919,0,36,65,300000.0
2,1.0,152.0,1.0,78.0,74.0,1610.0,0,3,1984,1,32,33,379500.0
3,2.25,151.0,2.0,151.0,0.0,1142.0,0,4,1991,1,33,37,339950.0
6,2.5,331.0,2.5,331.0,0.0,602.0,0,4,1920,0,36,54,1500000.0
3,3.0,275.0,2.0,227.0,48.0,511.0,2,3,1943,0,36,75,1340000.0
3,2.5,180.0,1.0,180.0,0.0,3490.0,0,4,1993,1,17,16,500000.0
3,2.0,131.0,1.0,131.0,0.0,703.0,0,3,1991,1,19,19,239900.0
3,1.0,97.0,1.0,97.0,0.0,1578.0,0,4,1974,1,33,38,314950.0
2,1.0,76.0,1.0,76.0,0.0,595.0,0,4,1950,1,36,62,361280.0
2,1.0,85.0,1.0,85.0,0.0,2044.0,0,3,1962,0,1,1,100000.0
7,5.75,344.0,2.0,344.0,0.0,710.0,1,3,1954,0,21,68,540000.0
4,2.5,203.0,1.0,203.0,0.0,1041.0,0,4,1974,1,43,42,480500.0
3,2.5,149.0,2.0,149.0,0.0,397.0,0,3,2006,1,2,1,280000.0
3,1.75,139.0,1.0,98.0,41.0,574.0,0,4,1953,0,36,58,440000.0
3,1.0,124.0,1.0,100.0,24.0,398.0,0,3,1916,0,36,49,530000.0
3,2.0,173.0,1.0,173.0,0.0,1242.0,0,3,1991,1,17,16,560000.0
3,2.0,236.0,1.5,149.0,87.0,669.0,3,4,1911,1,36,65,775000.0
2,1.0,97.0,1.0,97.0,0.0,1217.0,0,5,1918,1,19,21,160000.0
3,1.5,128.0,1.0,128.0,0.0,1034.0,0,3,1966,0,15,3,209950.0
3,1.75,152.0,1.0,105.0,47.0,1000.0,0,3,1994,0,10,27,226500.0
5,1.75,279.0,1.0,139.0,139.0,557.0,0,5,1964,1,36,72,380000.0
4,2.75,199.0,1.0,123.0,76.0,1208.0,0,3,1974,0,18,17,409500.0
3,2.0,164.0,1.0,91.0,72.0,597.0,0,4,1948,0,36,75,690000.0
3,2.25,154.0,1.0,154.0,0.0,772.0,0,4,1967,0,37,63,405000.0
3,2.5,170.0,2.0,170.0,0.0,1212.0,0,3,1996,0,22,24,375000.0
4,2.0,205.0,1.0,112.0,93.0,795.0,1,4,1960,0,36,75,794154.0
4,1.0,138.0,1.0,138.0,0.0,613.0,0,3,1975,0,7,70,185000.0
3,1.5,117.0,2.0,97.0,20.0,118.0,0,3,2011,1,36,63,245000.0
5,4.5,397.0,2.0,316.0,81.0,750.0,0,3,2013,1,20,22,1532500.0
4,3.5,362.0,2.0,362.0,0.0,780.0,0,3,2012,1,20,22,1040000.0
2,2.5,107.0,3.0,107.0,0.0,95.0,0,3,2014,1,36,48,425000.0
4,2.75,247.0,2.0,247.0,0.0,1969.0,0,3,2020,1,2,1,495000.0
